claranet_spryker-demoshop,,
hmcts_tribunals-case-api,TF;AWS,C:\Users\camyi\hmcts_tribunals-case-api\infrastructure\versions.tf;C:\Users\camyi\hmcts_tribunals-case-api\functional-output\glue.json
andryyy_mailcow-dockerized,,
Solinea_goldstone-server,,
MTG_freesound,,
FightPandemics_FightPandemics,TF,C:\Users\camyi\FightPandemics_FightPandemics\services\notification\deploy\main.tf
CaliOpen_Caliopen,AZ,C:\Users\camyi\CaliOpen_Caliopen\devtools\api-mock\authentications\data.json
creativesoftwarefdn_weaviate,TF;AWS,C:\Users\camyi\creativesoftwarefdn_weaviate\test\benchmark\remote\terraform\main.tf;C:\Users\camyi\creativesoftwarefdn_weaviate\test\acceptance\fixtures\things.json
eHealthAfrica_aether,,
ministryofjustice_opg-use-an-lpa,TF,C:\Users\camyi\ministryofjustice_opg-use-an-lpa\terraform\account\lookups.tf
appwrite_appwrite,,
harvard-lil_capstone,,
EOL_eol_website,,
nymtech_nym,AZ,C:\Users\camyi\nymtech_nym\nym-connect\desktop\tsconfig.eslint.json
bugsnag_bugsnag-js,AWS;AZ,C:\Users\camyi\bugsnag_bugsnag-js\test\aws-lambda\features\fixtures\serverless-express-app\template.yaml;C:\Users\camyi\bugsnag_bugsnag-js\test\react-native\features\fixtures\rn0.73\package.json
astarte-platform_astarte,,
remp2020_remp,AWS,C:\Users\camyi\remp2020_remp\.gitlab-ci.yml
CovenantSQL_CovenantSQL,AZ,C:\Users\camyi\CovenantSQL_CovenantSQL\metric\fixtures\qdisc\results.json
jpetazzo_container.training,TF;AWS,C:\Users\camyi\jpetazzo_container.training\prepare-labs\terraform\providers\vcluster\variables.tf;C:\Users\camyi\jpetazzo_container.training\k8s\ytt\8-library\app.yaml
microservices-demo_front-end,,
RedHatInsights_vmaas,,
dainst_cilantro,AWS,C:\Users\camyi\dainst_cilantro\test\resources\configs\config_valid\job_types\schemas\job3_schema.json
hypertrace_hypertrace-service,,
moira-alert_moira,,
HubSpot_Baragon,,
DaisukeHirata_express-typescript-openapi3,AWS,C:\Users\camyi\DaisukeHirata_express-typescript-openapi3\image-resizer-service\.serverless\cloudformation-template-create-stack.json
wazo-platform_wazo-auth,,
nextcloud_docker,,
ProjectEKA_consent-manager,,
digirati-co-uk_madoc-platform,AZ,C:\Users\camyi\digirati-co-uk_madoc-platform\services\madoc-ts\fixtures\96-jira\MAD-1200-1.json
wazo-platform_wazo-calld,,
cyber-dojo_runner,TF,C:\Users\camyi\cyber-dojo_runner\deployment\terraform\variables.tf
topcoder-platform_tc-project-service,,
ikemtz_Nurser,,
MAIF_izanami,AWS,C:\Users\camyi\MAIF_izanami\manual\.docusaurus\codeTranslations.json
RasaHQ_rasa-sdk,,
Greenstand_treetracker-admin,,
SoftwareAG_sagdevops-templates,,
gnosis_safe-transaction-service,,
overture-stack_score,,
HBPMedical_mip-deployment,,
Combitech_codefarm,,
shopgate_connect-integration-sdk,,
piomin_sample-spring-microservices,,
hobbit-project_platform,,
OpenLMIS_openlmis-ref-distro,,
OADA_oada-srvc-docker,,
moondev_million-song-library,,
lblod_app-demo-editor,AZ,C:\Users\camyi\lblod_app-demo-editor\.changeset\config.json
Engineering-Research-and-Development_true-connector-execution_core_container,,
cuappdev_ithaca-transit-backend,,
EMSL-MSC_pacifica-upload-status,,
pelias_docker,AWS,C:\Users\camyi\pelias_docker\.github\workflows\elasticsearch-image-builder.yml
Viveckh_Veniqa,AWS,C:\Users\camyi\Viveckh_Veniqa\management-webclient\src\constants\hello.json
